preprocessed,original
albums similar to britney spears blackout,"Albums similar to Britney Spears' ""Blackout"""
similar artists to pnau,Similar artists to PNAU
hip hop similar to runnin from the creed 2 album,Hip Hop similar to Runnin from the Creed 2 album?
looking for the genre of searching youth 83,Looking for the genre of ”Searching - YOUTH 83”
can you suggest any non lyrical music for a good workout playlist | i like soundtracks ie | epic grand action but am open to anything,"Can you suggest any non-lyrical music for a good workout playlist? I like soundtracks (i.e. epic, grand, action) but am open to anything."
are there songs with a similar meaning like i dont want to be by gavin degraw | preferably in the rock genre,"Are there songs with a similar meaning like ""I Don't Want To Be"" by Gavin DeGraw? Preferably in the Rock genre."
songs with amazing real string sections,Songs with amazing (real) string sections
what are some bands with a sort of acoustic pop punk sound,What are some bands with a sort of acoustic pop punk sound?
looking for bands music similar to gang of youths,Looking for bands/music similar to Gang of Youths
looking for songs that give the same vibe as the intro in metallicas song blackened,"Looking for songs that give the same vibe as the intro in Metallica's song ""Blackened""."
need more music with vocals & soul like this in my life,Need more music with vocals & soul like this in my life...
songs about being scared of staying the same,Songs about being scared of staying the same?
happy upbeat music with lyrics and good energy to it,Happy upbeat music with lyrics and good energy to it.
songs like vincent or imagine,Songs like Vincent or Imagine?
ghostin ariana grande,Ghostin - ariana grande?
any songs capturing the jazzy lounge vibe like this,Any songs capturing the Jazzy/lounge vibe like this?
more music that ill like,more music that ill like
songs like nutshell by alice in chains,Songs like Nutshell by Alice in Chains
interesting production centered albums,Interesting production centered albums
ambient dark psychedelic flute,Ambient/Dark/Psychedelic Flute?
i need help finding the best song of all time,I need help finding the best song of all time
songs like somewhere only we know by keane,"Songs like ""Somewhere only we know"" by keane"
looking for songs similar to florida kilos | lana del ray,looking for songs similar to florida kilos (lana del ray)
rock indie bands who have instruments like banjos in them with good driving beat,Rock/Indie Bands who have instruments like banjos in them with good driving beat...
new music that sounds like old music,New music that sounds like old music?
trap hip hop alternative hip hop drill music punk rap,trap/hip hop/alternative hip hop/drill music/punk rap
gently wind | joshua speedy,gently wind | Joshua Speedy
music like unison square garden,Music like Unison Square garden
would really appreciate sone recommendations,Would really appreciate sone recommendations
songs like sub urbams cradle,Songs like Sub Urbams Cradle?
songs artists like quarter past midnight by bastille,Songs/Artists like Quarter Past Midnight by Bastille
soft voiced vocals,soft-voiced vocals
find me music with dark lyrics covered by an upbeat musical score,find me music with dark lyrics covered by an upbeat musical score?
looking for an album or ep in cassette tape format of synth electronic music with no lyrics and sounds somewhat similar to jake chudnows music,Looking for an album or EP in cassette tape format of synth/electronic music with no lyrics and sounds somewhat similar to Jake chudnow's music?
